doubleDegree,sleep
Yes,8
No,10
No,8
No,10
Yes,9
No,7
Yes,5
Yes,5
No,8
No,5
No,8
Yes,10
No,5
No,4
No,8
Yes,8
No,8
Yes,0
No,0
Yes,1
No,10
No,5
Yes,0
No,9
Yes,7
Yes,8
No,5
No,8
Yes,5
No,6
No,5
No,7
Yes,7
Yes,7
Yes,7
No,7
No,9
Yes,7
No,8
No,7
No,5
No,6
No,7
No,6
No,5
Yes,0
No,5
No,7
No,10
No,7
No,10
No,9
No,8
No,3
Yes,6
No,8
No,7
Yes,8
No,7
No,6
No,4
No,8
No,8
Yes,6
No,6
Yes,10
No,6
No,8
No,6
No,6
Yes,6
Yes,6
No,7
No,6
Yes,5
Yes,5
No,6
No,7
Yes,7
No,5
Yes,8
No,5
No,6
No,9
Yes,8
No,10
Yes,5
No,5
Yes,7
No,6
Yes,6
No,5
No,8
Yes,1
Yes,2
Yes,7
No,4
No,7
No,4
No,7
No,7
Yes,0
No,8
Yes,7
No,9
No,6
Yes,5
Yes,6
No,7
Yes,6
Yes,0
No,7
No,7
No,5
No,7
Yes,7
No,8
Yes,6
Yes,6
No,7
No,8
No,8
No,5
Yes,6
Yes,5
No,6
No,10
No,7
Yes,4
Yes,10
No,7
No,6
Yes,7
No,8
Yes,6
No,0
No,8
No,5
No,6
Yes,4
No,6
No,0
No,7
Yes,0
No,7
No,6
No,5
No,4
Yes,6
No,7
No,5
No,9
No,9
No,3
No,10
No,7
No,0
No,9
No,9
No,0
No,0
No,8
No,7
No,4
No,10
No,7
Yes,0
Yes,10
No,5
No,7
No,10
Yes,10
Yes,2
No,0
No,6
Yes,6
No,6
No,4
No,5
No,6
No,5
No,4
No,6
No,4
No,5
